,Product Name,Price,date
0,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4149.,2025-04-09 14:50:06.765788
1,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,4429.,2025-04-09 14:50:06.765788
2,Apple iPhone 16 (128 GB) - Teal,2799.,2025-04-09 14:50:06.765788
3,Apple iPhone 15 Plus (256 GB) - Pink,3299.,2025-04-09 14:50:06.765788
4,Apple iPhone 13 (128GB) - Midnight,1699.,2025-04-09 14:50:06.765788
5,Apple iPhone 13 (128GB) - Blue (Renewed),1093.,2025-04-09 14:50:06.765788
6,Apple iPhone 12 mini (64GB) - (PRODUCT) Red (Renewed),737.,2025-04-09 14:50:06.765788
7,Apple iPhone 12 Pro (128GB) - Graphite (Renewed),999.,2025-04-09 14:50:06.765788
8,Apple iPhone 16 (128 GB) - Black,2899.,2025-04-09 14:50:06.765788
9,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,4429.,2025-04-09 14:50:06.765788
10,Apple iPhone 15 (128 GB) - Pink,2781.,2025-04-09 14:50:06.765788
11,Apple iPhone 12 (128GB) - Blue (Renewed),940.,2025-04-09 14:50:06.765788
12,Apple iPhone SE (128GB) - (PRODUCT)RED (Renewed),429.,2025-04-09 14:50:06.765788
13,Apple iPhone 16 Pro (256 GB) - Natural Titanium,4145.,2025-04-09 14:50:06.765788
14,Apple iPhone 14 Pro Max (256 GB) - Deep Purple (Renewed),2399.,2025-04-09 14:50:06.765788
15,Apple iPhone 16e (128 GB) - Black,2599.,2025-04-09 14:50:06.765788
16,Apple iPhone 11 (64GB) - (PRODUCT)RED (Renewed),720.,2025-04-09 14:50:06.765788
17,Apple iPhone 13 Pro (128GB) - Sierra Blue (Renewed),1459.,2025-04-09 14:50:06.765788
18,Apple iPhone 14 (128 GB) - Blue (Renewed),1898.,2025-04-09 14:50:06.765788
19,Apple iPhone 15 Pro (256 GB) - Natural Titanium (Renewed),2949.,2025-04-09 14:50:06.765788
20,Apple iPhone 13 mini (128GB) - Blue (Renewed),1165.,2025-04-09 14:50:06.765788
21,Apple iPhone 14 (128 GB) - Starlight,2641.,2025-04-09 14:50:06.765788
22,Apple iPhone 13 Pro Max (256GB) - Sierra Blue (Renewed),1899.,2025-04-09 14:50:06.765788
23,Apple iPhone 13 Pro (128GB) - Graphite (Renewed),1498.,2025-04-09 14:50:06.765788
24,Apple iPhone 12 Pro (512GB) - Gold (Renewed),1309.,2025-04-09 14:50:06.765788
25,Apple iPhone 15 Plus (128 GB) - Yellow,2899.,2025-04-09 14:50:06.765788
26,Apple iPhone 16 Plus (128 GB) - Pink,3299.,2025-04-09 14:50:06.765788
27,Apple iPhone 11 Pro Max (256GB) - Gold (Renewed) (Renewed),1137.,2025-04-09 14:50:06.765788
28,iphone x 256Gb Silvar (Renewed),630.,2025-04-09 14:50:06.765788
29,Apple iPhone 14 Pro Max (256GB) - Gold (Renewed),2274.,2025-04-09 14:50:06.765788
30,Apple iPhone 13 Pro Max (256GB) - Graphite (Renewed),1949.,2025-04-09 14:50:06.765788
31,Apple iPhone 12 Pro (128GB) - Gold (Renewed),1179.,2025-04-09 14:50:06.765788
32,"Apple iPhone XR with Facetime, 64GB (White) (Renewed)",649.,2025-04-09 14:50:06.765788
33,"Apple iPhone 8 without FaceTime - 256GB, 4G LTE, Gold (Renewed)",789.,2025-04-09 14:50:06.765788
34,Apple iPhone 15 (128 GB) - Pink (Renewed),2059.,2025-04-09 14:50:06.765788
35,Apple iPhone 14 Pro (128 GB) - Space Black (Renewed),1999.,2025-04-09 14:50:06.765788
36,Apple iPhone 13 Pro (256GB) - Graphite (Renewed),1695.,2025-04-09 14:50:06.765788
37,Apple iPhone 13 (128GB) - (PRODUCT) RED (Renewed),1177.,2025-04-09 14:50:06.765788
38,I-phone 13 Pro 256GB Graphite (Renewed),1689.,2025-04-09 14:50:06.765788
39,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium (Renewed),3164.,2025-04-09 14:50:06.765788
40,"i-Phone 7, 256GB - Unlocked, Renewed, High Storage & Premium Performance - Matte Black",410.,2025-04-09 14:50:06.765788
41,Apple iPhone 13 Pro (128GB) - Gold (Renewed),1489.,2025-04-09 14:50:06.765788
42,Apple iPhone 13 mini (256GB) - Midnight (Renewed),1279.,2025-04-09 14:50:06.765788
43,Apple iPhone XR (64GB) - (PRODUCT) RED (Renewed),618.,2025-04-09 14:50:06.765788
44,"Apple iPhone 13 Pro (512GB), Blue (Renewed)",1949.,2025-04-09 14:50:06.765788
45,Apple iPhone 13 mini (256GB) - Blue (Renewed),1350.,2025-04-09 14:50:06.765788
46,i-Phone xs max 256gb Gold (Renewed),920.,2025-04-09 14:50:06.765788
47,Apple iPhone 11 Pro Max with FaceTime (64GB) - Gold (Renewed),1100.,2025-04-09 14:50:06.765788
48,Apple iPhone 13 Pro (256GB) - Sierra Blue (Renewed),1720.,2025-04-09 14:50:06.765788
49,Apple iPhone 11 Pro with FaceTime (256GB) - Space Grey (Renewed),1150.,2025-04-09 14:50:06.765788
50,Iphone 11 PRO 64 GB SPACE GREY (Renewed),1000.,2025-04-09 14:50:06.765788
51,Apple iPhone 13 mini (128GB) - Pink (Renewed),1254.,2025-04-09 14:50:06.765788
