,Product Name,Price,date
0,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4149.,2025-04-10 12:23:11.787919
1,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,4429.,2025-04-10 12:23:11.787919
2,Apple iPhone 15 (128 GB) - Black,2922.,2025-04-10 12:23:11.787919
3,Apple iPhone 16 (128 GB) - Teal,2769.,2025-04-10 12:23:11.787919
4,Apple iPhone 13 (128GB) - Midnight,1699.,2025-04-10 12:23:11.787919
5,Apple iPhone 12 Pro (128GB) - Graphite (Renewed),999.,2025-04-10 12:23:11.787919
6,Apple iPhone 13 (128GB) - Blue (Renewed),1093.,2025-04-10 12:23:11.787919
7,Apple iPhone 16 (128 GB) - Black,2799.,2025-04-10 12:23:11.787919
8,Apple iPhone 12 mini (64GB) - Blue (Renewed),699.,2025-04-10 12:23:11.787919
9,Apple iPhone 16 Pro Max (256 GB) - Black Titanium,4499.,2025-04-10 12:23:11.787919
10,Apple iPhone 15 (128 GB) - Pink,2781.,2025-04-10 12:23:11.787919
11,Apple iPhone 12 (128GB) - Blue (Renewed),1049.,2025-04-10 12:23:11.787919
12,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4149.,2025-04-10 12:23:11.787919
13,Apple iPhone SE (128GB) - (PRODUCT)RED (Renewed),424.,2025-04-10 12:23:11.787919
14,Apple iPhone 11 (64GB) - (PRODUCT)RED (Renewed),720.,2025-04-10 12:23:11.787919
15,Apple iPhone 14 Pro Max (256 GB) - Deep Purple (Renewed),2330.,2025-04-10 12:23:11.787919
16,Apple iPhone 16e (128 GB) - Black,2599.,2025-04-10 12:23:11.787919
17,Apple iPhone 14 Pro (256 GB) - Deep Purple (Renewed),2099.,2025-04-10 12:23:11.787919
18,Apple iPhone 13 Pro Max (256GB) - Sierra Blue (Renewed),1847.,2025-04-10 12:23:11.787919
19,Apple iPhone 15 Pro (256 GB) - Natural Titanium (Renewed),2748.,2025-04-10 12:23:11.787919
20,Apple iPhone 14 (128 GB) - Blue (Renewed),1895.,2025-04-10 12:23:11.787919
21,Apple iPhone 12 Pro (512GB) - Gold (Renewed),1308.,2025-04-10 12:23:11.787919
22,Apple iPhone 11 Pro Max (256GB) - Gold (Renewed) (Renewed),1137.,2025-04-10 12:23:11.787919
23,Apple iPhone 16 Plus (128 GB) - Pink,3299.,2025-04-10 12:23:11.787919
24,Apple iPhone 13 mini (128GB) - Blue (Renewed),1165.,2025-04-10 12:23:11.787919
25,Apple iPhone 13 Pro (128GB) - Sierra Blue (Renewed),1459.,2025-04-10 12:23:11.787919
26,Apple iPhone 11 Pro with FaceTime (64GB) - Silver (Renewed),835.,2025-04-10 12:23:11.787919
27,Apple iPhone 13 Pro (128GB) - Graphite (Renewed),1498.,2025-04-10 12:23:11.787919
28,Apple iPhone 14 Pro Max (256GB) - Gold (Renewed),2260.,2025-04-10 12:23:11.787919
29,Apple iPhone 14 (128 GB) - Starlight,2641.,2025-04-10 12:23:11.787919
30,"Apple iPhone 8 without FaceTime - 256GB, 4G LTE, Gold (Renewed)",785.,2025-04-10 12:23:11.787919
31,iphone x 256Gb Silvar (Renewed),679.,2025-04-10 12:23:11.787919
32,Apple iPhone 12 Pro Max (512GB) - Graphite (Renewed),1588.,2025-04-10 12:23:11.787919
33,Apple iPhone 15 Plus (128 GB) - Blue,2899.,2025-04-10 12:23:11.787919
34,I-phone 13 Pro 256GB Graphite (Renewed),1689.,2025-04-10 12:23:11.787919
35,Apple iPhone 14 Pro (128 GB) - Silver (Renewed),1899.,2025-04-10 12:23:11.787919
36,Apple iPhone 13 mini (256GB) - Midnight (Renewed),1279.,2025-04-10 12:23:11.787919
37,"Apple iPhone XR with Facetime, 64GB (White) (Renewed)",649.,2025-04-10 12:23:11.787919
38,Apple iPhone 13 Pro (256GB) - Graphite (Renewed),1692.,2025-04-10 12:23:11.787919
39,Apple iPhone 13 (128GB) - (PRODUCT) RED (Renewed),1132.,2025-04-10 12:23:11.787919
40,Apple iPhone 13 Pro Max (128GB) - Gold (Renewed),1623.,2025-04-10 12:23:11.787919
41,"i-Phone 7, 256GB - Unlocked, Renewed, High Storage & Premium Performance - Matte Black",410.,2025-04-10 12:23:11.787919
42,Apple iPhone 13 mini (128 GB) - Green (Renewed),1199.,2025-04-10 12:23:11.787919
43,Iphone 11 PRO 64 GB SPACE GREY (Renewed),895.,2025-04-10 12:23:11.787919
44,Apple iPhone 13 Pro Max (128GB) - Sierra Blue (Renewed),1799.,2025-04-10 12:23:11.787919
45,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium (Renewed),3164.,2025-04-10 12:23:11.787919
46,Apple iPhone 11 Pro (64GB) - Gold (Renewed),898.,2025-04-10 12:23:11.787919
47,Apple iPhone 12 Pro (128GB) - Gold (Renewed),1179.,2025-04-10 12:23:11.787919
48,Apple iPhone 13 Pro (256GB) - Gold (Renewed),1759.,2025-04-10 12:23:11.787919
49,Apple iPhone 13 Pro Max (128 GB) - Alpine Green (Renewed),1849.,2025-04-10 12:23:11.787919
50,Apple iPhone 15 (128 GB) - Pink (Renewed),2059.,2025-04-10 12:23:11.787919
51,Apple iPhone 14 Pro (128 GB) - Space Black (Renewed),1998.,2025-04-10 12:23:11.787919
