,Product Name,Price,date
0,Apple iPhone 16 Pro Max (256 GB) - Black Titanium,4449.,2025-04-14 13:47:31.994354
1,Apple iPhone 15 (128 GB) - Black,2922.,2025-04-14 13:47:31.994354
2,Apple iPhone 16 Pro (256 GB) - White Titanium,4149.,2025-04-14 13:47:31.994354
3,Apple iPhone 16 (128 GB) - Pink,2799.,2025-04-14 13:47:31.994354
4,Apple iPhone 13 (128GB) - Midnight,1699.,2025-04-14 13:47:31.994354
5,Apple iPhone 16 (128 GB) - Black,2799.,2025-04-14 13:47:31.994354
6,Apple iPhone 13 (128GB) - Blue (Renewed),1090.,2025-04-14 13:47:31.994354
7,Apple iPhone 12 Pro (128GB) - Graphite (Renewed),1118.,2025-04-14 13:47:31.994354
8,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,4449.,2025-04-14 13:47:31.994354
9,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4099.,2025-04-14 13:47:31.994354
10,Apple iPhone 12 mini (64GB) - Blue (Renewed),838.,2025-04-14 13:47:31.994354
11,Apple iPhone 15 (128 GB) - Pink,2729.,2025-04-14 13:47:31.994354
12,Apple iPhone 12 (128GB) - Blue (Renewed),923.,2025-04-14 13:47:31.994354
13,Apple iPhone 14 Pro (256 GB) - Deep Purple (Renewed),2088.,2025-04-14 13:47:31.994354
14,Apple iPhone SE (128GB) - White (Renewed),435.,2025-04-14 13:47:31.994354
15,Apple iPhone 15 Pro (256 GB) - Natural Titanium (Renewed),2885.,2025-04-14 13:47:31.994354
16,Apple iPhone 13 Pro Max (256GB) - Sierra Blue (Renewed),1793.,2025-04-14 13:47:31.994354
17,Apple iPhone 14 Pro Max (256 GB) - Deep Purple (Renewed),2312.,2025-04-14 13:47:31.994354
18,Apple iPhone 16e (128 GB) - Black,2599.,2025-04-14 13:47:31.994354
19,Apple iPhone 15 Plus (128 GB) - Yellow,2786.,2025-04-14 13:47:31.994354
20,Apple iPhone 13 Pro (256GB) - Graphite (Renewed),1631.,2025-04-14 13:47:31.994354
21,Apple iPhone 16 Plus (128 GB) - Pink,3299.,2025-04-14 13:47:31.994354
22,Apple iPhone 14 (128 GB) - Starlight,2516.,2025-04-14 13:47:31.994354
23,Apple iPhone 11 (128GB) - White (Renewed),901.,2025-04-14 13:47:31.994354
24,Apple iPhone 12 Pro Max (128GB) - Graphite (Renewed),1302.,2025-04-14 13:47:31.994354
25,iphone x 256Gb Silvar (Renewed),669.,2025-04-14 13:47:31.994354
26,Apple iPhone 13 mini (128GB) - Blue (Renewed),1165.,2025-04-14 13:47:31.994354
27,Apple iPhone 13 Pro (128GB) - Sierra Blue (Renewed),1454.,2025-04-14 13:47:31.994354
28,Apple iPhone 14 (128 GB) - Blue (Renewed),1889.,2025-04-14 13:47:31.994354
29,Apple iPhone 13 Pro (256GB) - Sierra Blue (Renewed),1507.,2025-04-14 13:47:31.994354
30,Apple iPhone 11 Pro (64GB) - Gold (Renewed),898.,2025-04-14 13:47:31.994354
31,Apple iPhone 14 Pro (128 GB) - Silver (Renewed),2000.,2025-04-14 13:47:31.994354
32,Apple iPhone 14 Pro Max (256GB) - Gold (Renewed),2248.,2025-04-14 13:47:31.994354
33,"Apple iPhone XR with Facetime, 64GB (White) (Renewed)",649.,2025-04-14 13:47:31.994354
34,Apple iPhone 13 (128GB) - (PRODUCT) RED (Renewed),1132.,2025-04-14 13:47:31.994354
35,Apple iPhone 12 Pro (512GB) - Gold (Renewed),1699.,2025-04-14 13:47:31.994354
36,Apple iPhone 11 Pro with FaceTime (256GB) - Space Grey (Renewed),1148.,2025-04-14 13:47:31.994354
37,"Apple iPhone 8 without FaceTime - 256GB, 4G LTE, Gold (Renewed)",739.,2025-04-14 13:47:31.994354
38,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium (Renewed),3164.,2025-04-14 13:47:31.994354
39,Apple iPhone 13 Pro (256 GB) - Alpine Green (Renewed),1513.,2025-04-14 13:47:31.994354
40,Apple iPhone 14 Pro Max (256 GB) - Space Black (Renewed),2258.,2025-04-14 13:47:31.994354
41,Apple iPhone 13 Pro (128GB) - Graphite (Renewed),1490.,2025-04-14 13:47:31.994354
42,Apple iPhone 14 Pro (128 GB) - Space Black (Renewed),1957.,2025-04-14 13:47:31.994354
43,Apple iPhone 13 Pro Max (128GB) - Gold (Renewed),1781.,2025-04-14 13:47:31.994354
44,Apple iPhone 13 Pro (128GB) - Gold (Renewed),1485.,2025-04-14 13:47:31.994354
45,Apple iPhone 13 Pro (256GB) - Gold (Renewed),1667.,2025-04-14 13:47:31.994354
46,Iphone 11 PRO 64 GB SPACE GREY (Renewed),895.,2025-04-14 13:47:31.994354
47,Apple iPhone 13 Pro Max (128GB) - Sierra Blue (Renewed),1791.,2025-04-14 13:47:31.994354
48,Apple iPhone 12 Pro (128GB) - Gold (Renewed),1169.,2025-04-14 13:47:31.994354
49,Apple iPhone 13 Pro Max (256GB) - Gold (Renewed),1809.,2025-04-14 13:47:31.994354
50,Apple iPhone 13 mini (128 GB) - Green (Renewed),1192.,2025-04-14 13:47:31.994354
51,Apple iPhone 13 Pro Max (128 GB) - Alpine Green (Renewed),1897.,2025-04-14 13:47:31.994354
