,Product Name,Price,date
0,Apple iPhone 16 Pro Max (256 GB) - White Titanium,4449.,2025-04-13 15:24:49.084569
1,Apple iPhone 16 Pro (128 GB) - White Titanium,3768.,2025-04-13 15:24:49.084569
2,Apple iPhone 15 Plus (128 GB) - Yellow,2786.,2025-04-13 15:24:49.084569
3,Apple iPhone 15 (256 GB) - Black,2899.,2025-04-13 15:24:49.084569
4,Apple iPhone 13 (128GB) - Midnight,1699.,2025-04-13 15:24:49.084569
5,Apple iPhone 12 Pro (128GB) - Graphite (Renewed),1118.,2025-04-13 15:24:49.084569
6,Apple iPhone 16 (128 GB) - Black,2799.,2025-04-13 15:24:49.084569
7,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,4449.,2025-04-13 15:24:49.084569
8,Apple iPhone 13 (128GB) - Blue (Renewed),1079.,2025-04-13 15:24:49.084569
9,Apple iPhone 12 mini (64GB) - Blue (Renewed),699.,2025-04-13 15:24:49.084569
10,Apple iPhone 15 (128 GB) - Pink,2729.,2025-04-13 15:24:49.084569
11,Apple iPhone 12 (128GB) - Blue (Renewed),923.,2025-04-13 15:24:49.084569
12,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4099.,2025-04-13 15:24:49.084569
13,Apple iPhone 14 Pro (256 GB) - Deep Purple (Renewed),2093.,2025-04-13 15:24:49.084569
14,Apple iPhone SE (128GB) - (PRODUCT)RED (Renewed),420.,2025-04-13 15:24:49.084569
15,Apple iPhone 15 Pro (256 GB) - Natural Titanium (Renewed),2728.,2025-04-13 15:24:49.084569
16,Apple iPhone 12 Pro (512GB) - Gold (Renewed),1309.,2025-04-13 15:24:49.084569
17,Apple iPhone 16e (128 GB) - Black,2599.,2025-04-13 15:24:49.084569
18,Apple iPhone 13 Pro Max (256GB) - Sierra Blue (Renewed),1794.,2025-04-13 15:24:49.084569
19,Apple iPhone 15 Plus (128 GB) - Yellow,2786.,2025-04-13 15:24:49.084569
20,Apple iPhone 14 Pro Max (256 GB) - Deep Purple (Renewed),2328.,2025-04-13 15:24:49.084569
21,Apple iPhone 16 Plus (128 GB) - Pink,3299.,2025-04-13 15:24:49.084569
22,Apple iPhone 15 Pro Max (256 GB) - Natural Titanium (Renewed),2979.,2025-04-13 15:24:49.084569
23,Apple iPhone 11 (128GB) - White (Renewed),902.,2025-04-13 15:24:49.084569
24,Apple iPhone 13 Pro (256GB) - Graphite (Renewed),1634.,2025-04-13 15:24:49.084569
25,Apple iPhone 14 Pro (128 GB) - Silver (Renewed),2000.,2025-04-13 15:24:49.084569
26,Apple iPhone 13 mini (128GB) - Blue (Renewed),1165.,2025-04-13 15:24:49.084569
27,Apple iPhone 14 (128 GB) - Starlight,2571.,2025-04-13 15:24:49.084569
28,Apple iPhone 14 (128 GB) - Blue (Renewed),1888.,2025-04-13 15:24:49.084569
29,Apple iPhone 11 Pro (64GB) - Gold (Renewed),898.,2025-04-13 15:24:49.084569
30,Apple iPhone 13 (128GB) - (PRODUCT) RED (Renewed),1132.,2025-04-13 15:24:49.084569
31,Apple iPhone 13 Pro (128GB) - Sierra Blue (Renewed),1454.,2025-04-13 15:24:49.084569
32,iphone x 256Gb Silvar (Renewed),679.,2025-04-13 15:24:49.084569
33,"Apple iPhone 8 without FaceTime - 256GB, 4G LTE, Gold (Renewed)",739.,2025-04-13 15:24:49.084569
34,Apple iPhone 14 Pro Max (256GB) - Gold (Renewed),2249.,2025-04-13 15:24:49.084569
35,Apple iPhone 13 Pro Max (1 TB) - Alpine Green (Renewed),1929.,2025-04-13 15:24:49.084569
36,Apple iPhone 13 mini (256 GB) - Green (Renewed),1311.,2025-04-13 15:24:49.084569
37,Apple iPhone 13 Pro (256 GB) - Alpine Green (Renewed),1529.,2025-04-13 15:24:49.084569
38,Iphone 11 PRO 64 GB SPACE GREY (Renewed),895.,2025-04-13 15:24:49.084569
39,Apple iPhone 13 mini (256GB) - Midnight (Renewed),1278.,2025-04-13 15:24:49.084569
40,Apple iPhone 13 Pro Max (128GB) - Sierra Blue (Renewed),1622.,2025-04-13 15:24:49.084569
41,Apple iPhone 13 Pro Max (128GB) - Gold (Renewed),1623.,2025-04-13 15:24:49.084569
42,Apple iPhone 13 mini (128 GB) - Green (Renewed),1192.,2025-04-13 15:24:49.084569
43,I-phone 13 Pro 256GB Graphite (Renewed),1689.,2025-04-13 15:24:49.084569
44,Apple iPhone 13 Pro (128GB) - Graphite (Renewed),1490.,2025-04-13 15:24:49.084569
45,"Apple iPhone XR with Facetime, 64GB (White) (Renewed)",649.,2025-04-13 15:24:49.084569
46,Apple iPhone 15 (128 GB) - Pink (Renewed),2059.,2025-04-13 15:24:49.084569
47,Apple iPhone 14 Pro Max (256 GB) - Space Black (Renewed),2259.,2025-04-13 15:24:49.084569
48,Apple iPhone 11 Pro with FaceTime (256GB) - Space Grey (Renewed),1148.,2025-04-13 15:24:49.084569
49,Apple iPhone 13 Pro (128GB) - Gold (Renewed),1485.,2025-04-13 15:24:49.084569
50,Apple iPhone 13 mini (128GB) - Starlight (Renewed),1161.,2025-04-13 15:24:49.084569
51,Apple iPhone 13 Pro (1TB) - Silver (Renewed),1844.,2025-04-13 15:24:49.084569
