,Product Name,Price,date
0,Apple iPhone 15 (128 GB) - Black,2651.,2025-04-11 11:07:47.453702
1,Apple iPhone 16 Pro Max (256 GB) - Black Titanium,4499.,2025-04-11 11:07:47.453702
2,Apple iPhone 16 (128 GB) - Teal,2769.,2025-04-11 11:07:47.453702
3,Apple iPhone 16 Pro (128 GB) - Desert Titanium,3799.,2025-04-11 11:07:47.453702
4,Apple iPhone 13 (128GB) - Midnight,1699.,2025-04-11 11:07:47.453702
5,Apple iPhone 12 Pro (128GB) - Graphite (Renewed),999.,2025-04-11 11:07:47.453702
6,Apple iPhone 16 (128 GB) - Black,2799.,2025-04-11 11:07:47.453702
7,Apple iPhone 13 (128GB) - Blue (Renewed),1093.,2025-04-11 11:07:47.453702
8,Apple iPhone 12 mini (64GB) - Blue (Renewed),699.,2025-04-11 11:07:47.453702
9,Apple iPhone 16 Pro Max (256 GB) - Black Titanium,4499.,2025-04-11 11:07:47.453702
10,Apple iPhone 16 Pro (256 GB) - Natural Titanium,3999.,2025-04-11 11:07:47.453702
11,Apple iPhone 15 (128 GB) - Pink,2781.,2025-04-11 11:07:47.453702
12,Apple iPhone 12 (128GB) - Blue (Renewed),955.,2025-04-11 11:07:47.453702
13,Apple iPhone 14 Pro (256 GB) - Deep Purple (Renewed),2097.,2025-04-11 11:07:47.453702
14,Apple iPhone SE (128GB) - (PRODUCT)RED (Renewed),423.,2025-04-11 11:07:47.453702
15,Apple iPhone 15 Plus (128 GB) - Yellow,2323.,2025-04-11 11:07:47.453702
16,Apple iPhone 16e (128 GB) - Black,2599.,2025-04-11 11:07:47.453702
17,Apple iPhone 14 Pro Max (256 GB) - Deep Purple (Renewed),2329.,2025-04-11 11:07:47.453702
18,Apple iPhone 12 Pro (512GB) - Gold (Renewed),1309.,2025-04-11 11:07:47.453702
19,Apple iPhone 15 Pro (256 GB) - Natural Titanium (Renewed),2738.,2025-04-11 11:07:47.453702
20,Apple iPhone 11 (128GB) - White (Renewed),909.,2025-04-11 11:07:47.453702
21,Apple iPhone 13 Pro Max (256GB) - Sierra Blue (Renewed),1842.,2025-04-11 11:07:47.453702
22,Apple iPhone 12 Pro Max (128GB) - Graphite (Renewed),1328.,2025-04-11 11:07:47.453702
23,Apple iPhone 13 Pro (128GB) - Sierra Blue (Renewed),1459.,2025-04-11 11:07:47.453702
24,Apple iPhone 16 Plus (128 GB) - Pink,3299.,2025-04-11 11:07:47.453702
25,Apple iPhone 14 (128 GB) - Blue (Renewed),1895.,2025-04-11 11:07:47.453702
26,Apple iPhone 11 Pro Max (256GB) - Gold (Renewed) (Renewed),1137.,2025-04-11 11:07:47.453702
27,Apple iPhone 13 mini (128GB) - Blue (Renewed),1165.,2025-04-11 11:07:47.453702
28,iphone x 256Gb Silvar (Renewed),679.,2025-04-11 11:07:47.453702
29,Apple iPhone 13 (128GB) - (PRODUCT) RED (Renewed),1132.,2025-04-11 11:07:47.453702
30,Apple iPhone 11 Pro (64GB) - Gold (Renewed),898.,2025-04-11 11:07:47.453702
31,"Apple iPhone 8 without FaceTime - 256GB, 4G LTE, Gold (Renewed)",749.,2025-04-11 11:07:47.453702
32,Apple iPhone 14 (128 GB) - Starlight,2605.,2025-04-11 11:07:47.453702
33,Apple iPhone 13 Pro (128GB) - Graphite (Renewed),1490.,2025-04-11 11:07:47.453702
34,"Apple iPhone XR with Facetime, 64GB (White) (Renewed)",649.,2025-04-11 11:07:47.453702
35,Apple iPhone 13 mini (128 GB) - Green (Renewed),1198.,2025-04-11 11:07:47.453702
36,"i-Phone 7, 256GB - Unlocked, Renewed, High Storage & Premium Performance - Matte Black",410.,2025-04-11 11:07:47.453702
37,Iphone 11 PRO 64 GB SPACE GREY (Renewed),895.,2025-04-11 11:07:47.453702
38,Apple iPhone 13 Pro Max (128GB) - Sierra Blue (Renewed),1799.,2025-04-11 11:07:47.453702
39,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium (Renewed),3164.,2025-04-11 11:07:47.453702
40,I-phone 13 Pro 256GB Graphite (Renewed),1689.,2025-04-11 11:07:47.453702
41,Apple iPhone 14 Pro (128 GB) - Silver (Renewed),1885.,2025-04-11 11:07:47.453702
42,Apple iPhone 14 Pro Max (256GB) - Gold (Renewed),2259.,2025-04-11 11:07:47.453702
43,Apple iPhone 15 (128 GB) - Pink (Renewed),2059.,2025-04-11 11:07:47.453702
44,i-Phone xs max 256gb Gold (Renewed),949.,2025-04-11 11:07:47.453702
45,Apple iPhone 13 Pro (256 GB) - Alpine Green (Renewed),1548.,2025-04-11 11:07:47.453702
46,Apple iPhone 11 Pro with FaceTime (256GB) - Space Grey (Renewed),1150.,2025-04-11 11:07:47.453702
47,Apple iPhone 13 mini (256GB) - Blue (Renewed),1350.,2025-04-11 11:07:47.453702
48,Apple iPhone 12 Pro (128GB) - Gold (Renewed),1179.,2025-04-11 11:07:47.453702
49,Apple iPhone 13 Pro Max (128 GB) - Alpine Green (Renewed),2047.,2025-04-11 11:07:47.453702
50,Apple iPhone 11 Pro Max with FaceTime (64GB) - Gold (Renewed),1100.,2025-04-11 11:07:47.453702
51,Apple iPhone 14 Pro (128 GB) - Space Black (Renewed),1986.,2025-04-11 11:07:47.453702
